"vis","X__3","X__4","X__8","X__10","X__17","X__18","X__29","X__30","X__43","X__46","X__48","X__49","X__53","X__57","X__59","X__64","X__67","X__71","X__74","X__84","X__86","X__106","X__109","X__113","X__115","X__117","X__133","X__138","autres"
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.39,0,0,0,0,0,0,0,80.6,0,0,0,0,0,0.0100000000000051
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.96,0,0,0,0,0,0,0,80.03,0,0,0,0,0,0.00999999999999091
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.78,0,0,0,0,0,0,0,78.21,0,0,0,0,0,0.0100000000000051
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.89,0,0,0,0,0,0,0,76.1,0,0,0,0,0,0.0100000000000051
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.92,0,0,0,0,0,0,0,74.07,0,0,0,0,0,0.0100000000000051
861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,0,0,0,80,0,0,0,0,0,0.0100000000000051
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.75,0,0,0,69.24,0,0,0,0,0,0.0100000000000051
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.58,0,0,0,66.41,0,0,0,0,0,0.0100000000000051
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.92,0,0,0,63.07,0,0,0,0,0,0.00999999999999091
2255,0,0,0,0,0,0,0,0,0,0,0,0,23.91,0,0,0,0,0,0,0,0,0,76.08,0,0,0,0,0,0.0100000000000051
1723,0,0,0,0,0,0,0,0,0,0,0,0,26.63,0,0,0,0,0,0,0,0,0,73.36,0,0,0,0,0,0.0100000000000051
1225,0,0,0,0,0,0,0,0,0,0,0,0,29.91,0,0,0,0,0,0,0,0,0,70.08,0,0,0,0,0,0.0100000000000051
982,0,0,0,0,0,0,0,0,0,0,0,0,32.87,0,0,0,0,0,0,0,0,0,67.12,0,0,0,0,0,0.00999999999999091
775,0,0,0,0,0,0,0,0,0,0,0,0,36.58,0,0,0,0,0,0,0,0,0,63.41,0,0,0,0,0,0.0100000000000051
604,0,0,0,0,0,0,0,0,0,0,0,0,38.68,0,0,0,0,0,0,0,0,0,61.31,0,0,0,0,0,0.00999999999999091
616,0,0,0,0,0,0,0,0,0,0,0,0,41.55,0,0,0,0,0,0,0,0,0,58.44,0,0,0,0,0,0.0100000000000051
341,0,0,0,0,0,0,0,0,0,0,0,0,43.57,0,0,0,0,0,0,0,0,0,56.42,0,0,0,0,0,0.00999999999999091
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.56,0,0,0,0,0,0,0,82.43,0,0,0,0,0,0.00999999999999091
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.67,0,0,0,0,0,0,0,80.32,0,0,0,0,0,0.0100000000000051
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.12,0,0,0,0,0,0,0,78.87,0,0,0,0,0,0.00999999999999091
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.89,0,0,0,0,0,0,0,75.1,0,0,0,0,0,0.0100000000000051
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,0,0,0,0,71.07,0,0,0,0,0,0.0100000000000051
364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.58,0,0,0,74.41,0,0,0,0,0,0.0100000000000051
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.61,0,0,0,72.38,0,0,0,0,0,0.0100000000000051
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,69.34,0,0,0,0,0,0.00999999999999091
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.69,0,0,0,66.3,0,0,0,0,0,0.0100000000000051
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7,0,0,0,64.29,0,0,0,0,0,0.00999999999999091
2397,0,0,0,0,0,0,0,0,0,0,0,0,24.17,0,0,0,0,0,0,0,0,0,75.82,0,0,0,0,0,0.0100000000000051
1411,0,0,0,0,0,0,0,0,0,0,0,0,31.03,0,0,0,0,0,0,0,0,0,68.96,0,0,0,0,0,0.0100000000000051
647,0,0,0,0,0,0,0,0,0,0,0,0,35.04,0,0,0,0,0,0,0,0,0,64.95,0,0,0,0,0,0.00999999999999091
382,0,0,0,0,0,0,0,0,0,0,0,0,44.01,0,0,0,0,0,0,0,0,0,55.98,0,0,0,0,0,0.0100000000000051
563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.23,0,0,0,77.76,0,0,0,0,0,0.00999999999999091
437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.74,0,0,0,77.25,0,0,0,0,0,0.0100000000000051
395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.94,0,0,0,77.05,0,0,0,0,0,0.0100000000000051
446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.14,0,0,0,76.85,0,0,0,0,0,0.0100000000000051
295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.96,0,0,0,76.03,0,0,0,0,0,0.00999999999999091
267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.36,0,0,0,75.63,0,0,0,0,0,0.0100000000000051
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.58,0,0,0,74.41,0,0,0,0,0,0.0100000000000051
260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9,0,0,0,73.09,0,0,0,0,0,0.00999999999999091
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.12,0,0,0,71.87,0,0,0,0,0,0.00999999999999091
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,71.67,0,0,0,0,0,0.00999999999999091
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.94,0,0,0,70.05,0,0,0,0,0,0.0100000000000051
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.46,0,0,0,68.53,0,0,0,0,0,0.00999999999999091
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.66,0,0,0,68.33,0,0,0,0,0,0.0100000000000051
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.27,0,0,0,67.72,0,0,0,0,0,0.00999999999999091
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.37,0,0,0,67.62,0,0,0,0,0,0.00999999999999091
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.28,0,0,0,66.71,0,0,0,0,0,0.0100000000000051
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.79,0,0,0,66.2,0,0,0,0,0,0.00999999999999091
